index,longitude,latitude,speed,direction
1,-122.08956,37.37427,0.7,-26
2,-122.08949,37.37418,0.8,-5
3,-122.0895,37.37418,0.6,-41
4,-122.0895,37.37418,0.6,-34
5,-122.08952,37.37418,0.7,-24
6,-122.08955,37.37419,0.7,-24
7,-122.08958,37.37419,0.6,-24
8,-122.08962,37.3742,0.8,-28
9,-122.08965,37.3742,0.8,-19
10,-122.08968,37.3742,0.8,-12
11,-122.08975,37.37419,0.8,-26
12,-122.08982,37.37418,0.7,-42
13,-122.08989,37.37416,0.7,-40
14,-122.08993,37.37415,0.7,-42
15,-122.08996,37.37415,0.6,-38
16,-122.09,37.37415,0.8,-32
17,-122.09003,37.37416,0.9,-2
18,-122.09006,37.37416,0.9,-7
19,-122.0901,37.37416,0.8,-5
20,-122.09015,37.37416,0.8,-20
21,-122.0902,37.37415,0.6,-45
22,-122.09025,37.37415,0.7,-31
23,-122.0903,37.37414,0.6,-46
24,-122.09034,37.37414,0.8,-24
25,-122.09038,37.37414,0.7,-23
26,-122.09043,37.37414,0.7,-42
27,-122.09047,37.37414,0.8,-29
28,-122.09052,37.37414,0.7,-36
29,-122.09056,37.37414,0.7,-46
30,-122.09061,37.37414,1.2,-36
31,-122.09066,37.37413,1.5,-11
32,-122.09071,37.37413,1.2,-26
33,-122.09076,37.37413,1.1,-4
34,-122.0908,37.37413,0.9,-42
35,-122.09084,37.37414,1.0,-30
36,-122.09089,37.37414,1.0,-25
37,-122.09094,37.37414,0.8,-46
38,-122.09098,37.37414,1.0,-16
39,-122.09103,37.37414,0.7,-23
40,-122.09107,37.37415,1.5,3
41,-122.09111,37.37415,1.6,14
42,-122.09115,37.37416,1.8,-3
43,-122.09118,37.37418,1.3,-24
44,-122.09121,37.37421,1.0,-37
45,-122.09123,37.37424,1.0,-43
46,-122.09124,37.37428,1.1,-37
47,-122.09124,37.37432,1.1,-23
48,-122.09125,37.37436,1.1,-40
49,-122.09124,37.3744,1.3,-22
50,-122.09124,37.37444,1.2,-17
51,-122.09124,37.37448,1.1,-5
52,-122.09124,37.37451,1.1,-31
53,-122.09124,37.37454,1.1,-30
54,-122.09124,37.37457,0.9,-21
55,-122.09125,37.37461,0.9,-19
56,-122.09125,37.37465,1.2,1
